";Date;Holiday;;;;"

"0;31/12/10;New Year's Day;;;;"

"1;17/01/11;Birthday of Martin Luther King, Jr.;;;;"

"2;21/02/11;Washington's Birthday;;;;"

"3;30/05/11;Memorial Day;;;;"

"4;04/07/11;Independence Day;;;;"

"5;05/09/11;Labor Day;;;;"

"6;10/10/11;Columbus Day;;;;"

"7;11/11/11;Veterans Day;;;;"

"8;24/11/11;Thanksgiving Day;;;;"

"9;26/12/11;Christmas Day;;;;"

"10;02/01/12;New Year's Day;;;;"

"11;16/01/12;Birthday of Martin Luther King, Jr.;;;;"

"12;20/02/12;Washington's Birthday;;;;"

"13;28/05/12;Memorial Day;;;;"

"14;04/07/12;Independence Day;;;;"

"15;03/09/12;Labor Day;;;;"

"16;08/10/12;Columbus Day;;;;"

"17;12/11/12;Veterans Day;;;;"

"18;22/11/12;Thanksgiving Day;;;;"

"19;25/12/12;Christmas Day;;;;"

"20;01/01/13;New Year's Day;;;;"

"21;21/01/13;Birthday of Martin Luther King, Jr.;;;;"

"22;18/02/13;Washington's Birthday;;;;"

"23;27/05/13;Memorial Day;;;;"

"24;04/07/13;Independence Day;;;;"

"25;02/09/13;Labor Day;;;;"

"26;14/10/13;Columbus Day;;;;"

"27;11/11/13;Veterans Day;;;;"

"28;28/11/13;Thanksgiving Day;;;;"

"29;25/12/13;Christmas Day;;;;"

"30;01/01/14;New Year's Day;;;;"

"31;20/01/14;Birthday of Martin Luther King, Jr.;;;;"

"32;17/02/14;Washington's Birthday;;;;"

"33;26/05/14;Memorial Day;;;;"

"34;04/07/14;Independence Day;;;;"

"35;01/09/14;Labor Day;;;;"

"36;13/10/14;Columbus Day;;;;"

"37;11/11/14;Veterans Day;;;;"

"38;27/11/14;Thanksgiving Day;;;;"

"39;25/12/14;Christmas Day;;;;"

"40;01/01/15;New Year's Day;;;;"

"41;19/01/15;Birthday of Martin Luther King, Jr.;;;;"

"42;16/02/15;Washington's Birthday;;;;"

"43;25/05/15;Memorial Day;;;;"

"44;03/07/15;Independence Day;;;;"

"45;07/09/15;Labor Day;;;;"

"46;12/10/15;Columbus Day;;;;"

"47;11/11/15;Veterans Day;;;;"

"48;26/11/15;Thanksgiving Day;;;;"

"49;25/12/15;Christmas Day;;;;"

"50;01/01/16;New Year's Day;;;;"

"51;18/01/16;Birthday of Martin Luther King, Jr.;;;;"

"52;15/02/16;Washington's Birthday;;;;"

"53;30/05/16;Memorial Day;;;;"

"54;04/07/16;Independence Day;;;;"

"55;05/09/16;Labor Day;;;;"

"56;10/10/16;Columbus Day;;;;"

"57;11/11/16;Veterans Day;;;;"

"58;24/11/16;Thanksgiving Day;;;;"

"59;26/12/16;Christmas Day;;;;"

"60;02/01/17;New Year's Day;;;;"

"61;16/01/17;Birthday of Martin Luther King, Jr.;;;;"

"62;20/02/17;Washington's Birthday;;;;"

"63;29/05/17;Memorial Day;;;;"

"64;04/07/17;Independence Day;;;;"

"65;04/09/17;Labor Day;;;;"

"66;09/10/17;Columbus Day;;;;"

"67;10/11/17;Veterans Day;;;;"

"68;23/11/17;Thanksgiving Day;;;;"

"69;25/12/17;Christmas Day;;;;"

"70;01/01/18;New Year's Day;;;;"

"71;15/01/18;Birthday of Martin Luther King, Jr.;;;;"

"72;19/02/18;Washington's Birthday;;;;"

"73;28/05/18;Memorial Day;;;;"

"74;04/07/18;Independence Day;;;;"

"75;03/09/18;Labor Day;;;;"

"76;08/10/18;Columbus Day;;;;"

"77;12/11/18;Veterans Day;;;;"

"78;22/11/18;Thanksgiving Day;;;;"

"79;25/12/18;Christmas Day;;;;"

"80;01/01/19;New Year's Day;;;;"

"81;21/01/19;Birthday of Martin Luther King, Jr.;;;;"

"82;18/02/19;Washington's Birthday;;;;"

"83;27/05/19;Memorial Day;;;;"

"84;04/07/19;Independence Day;;;;"

"85;02/09/19;Labor Day;;;;"

"86;14/10/19;Columbus Day;;;;"

"87;11/11/19;Veterans Day;;;;"

"88;28/11/19;Thanksgiving Day;;;;"

"89;25/12/19;Christmas Day;;;;"

"90;01/01/20;New Year's Day;;;;"

"91;20/01/20;Birthday of Martin Luther King, Jr.;;;;"

"92;17/02/20;Washington's Birthday;;;;"

"93;25/05/20;Memorial Day;;;;"

"94;03/07/20;Independence Day;;;;"

"95;07/09/20;Labor Day;;;;"

"96;12/10/20;Columbus Day;;;;"

"97;11/11/20;Veterans Day;;;;"

"98;26/11/20;Thanksgiving Day;;;;"

"99;25/12/20;Christmas Day;;;;"

"100;01/01/10;New Year‰Ûªs Day;;;;"

"101;18/01/10;Martin Luther King, Jr. Day;;;;"

"102;15/02/10;Washington‰Ûªs Birthday;;;;"

"103;31/05/10;Memorial Day;;;;"

"104;05/07/10;Independence Day;;;;"

"105;06/09/10;Labor Day;;;;"

"106;11/10/10;Columbus Day;;;;"

"107;11/11/10;Veterans Day;;;;"

"108;25/11/10;Thanksgiving Day;;;;"

"109;25/12/10;Christmas Day;;;;"

"110;01/01/09;New Year‰Ûªs Day;;;;"

"111;19/01/09;Martin Luther King, Jr. Day;;;;"

"112;16/02/09;Washington‰Ûªs Birthday;;;;"

"113;25/05/09;Memorial Day;;;;"

"114;03/07/09;Independence Day;;;;"

"115;07/09/09;Labor Day;;;;"

"116;12/10/09;Columbus Day;;;;"

"117;11/11/09;Veterans Day;;;;"

"118;26/11/09;Thanksgiving Day;;;;"

"119;25/12/09;Christmas Day;;;;"

"120;01/01/08;New Year‰Ûªs Day;;;;"

"121;21/01/08;Martin Luther King, Jr. Day;;;;"

"122;18/02/08;Washington‰Ûªs Birthday;;;;"

"123;26/05/08;Memorial Day;;;;"

"124;04/07/08;Independence Day;;;;"

"125;01/09/08;Labor Day;;;;"

"126;13/10/08;Columbus Day;;;;"

"127;11/11/08;Veterans Day;;;;"

"128;27/11/08;Thanksgiving Day;;;;"

"129;25/12/08;Christmas Day;;;;"

"130;01/01/07;New Year‰Ûªs Day;;;;"

"131;15/01/07;Martin Luther King, Jr. Day;;;;"

"132;19/02/07;Washington‰Ûªs Birthday;;;;"

"133;28/05/07;Memorial Day;;;;"

"134;04/07/07;Independence Day;;;;"

"135;03/09/07;Labor Day;;;;"

"136;08/10/07;Columbus Day;;;;"

"137;11/11/07;Veterans Day;;;;"

"138;22/11/07;Thanksgiving Day;;;;"

"139;25/12/07;Christmas Day;;;;"

