iter	RMSE
0	77290.72315
1	75371.56716
2	73578.59394
3	71619.60097
4	69865.07199
5	67936.92156
6	66180.50041
7	64566.88887
8	63083.35887
9	61599.89224
10	60216.12258
11	58886.64645
12	57549.19834
13	56249.62667
14	55126.34123
15	53935.17917
16	52843.41739
17	51777.81357
18	50686.92995
19	49640.89044
20	48660.7966
21	47738.57395
22	46742.932
23	45974.89668
24	45237.86346
25	44364.79392
26	43564.41218
27	42765.30864
28	42051.35871
29	41359.92308
30	40776.2178
31	40062.53224
32	39514.6433
33	38955.55939
34	38377.65692
35	37836.22034
36	37316.0392
37	36853.22213
38	36338.75593
39	35886.94019
40	35454.86242
41	35013.03392
42	34612.33478
43	34148.59884
44	33730.22488
45	33319.8463
46	32969.19137
47	32578.63295
48	32186.5781
49	31840.67543
50	31443.30414
51	31084.6064
52	30754.40315
53	30482.50137
54	30189.52359
55	29931.26985
56	29633.99774
57	29355.75879
58	29037.21615
59	28723.06192
60	28405.67402
61	28151.32531
62	27860.20074
63	27602.71274
64	27400.36879
65	27216.94051
66	27030.40154
67	26808.70662
68	26590.10607
69	26427.58756
70	26274.76086
71	26064.81385
72	25844.31167
73	25678.12853
74	25515.79257
75	25340.98637
76	25174.48574
77	24996.31278
78	24809.81677
79	24625.41235
80	24476.44817
81	24333.43686
82	24196.54341
83	24067.66085
84	23921.59119
85	23783.77392
86	23618.18347
87	23468.70545
88	23344.09916
89	23255.38145
90	23135.51715
91	23031.50524
92	22939.12884
93	22831.892
94	22734.53302
95	22626.88316
96	22516.20447
97	22396.52478
98	22286.06965
99	22199.73258
100	22115.76606
101	22004.87815
102	21908.81726
103	21838.28895
104	21764.75788
105	21689.96848
106	21631.00263
107	21573.572
108	21519.19947
109	21427.03264
110	21328.94745
111	21246.08979
112	21184.70303
113	21092.04924
114	21013.71073
115	20951.09096
116	20887.90675
117	20809.35966
118	20744.09619
119	20706.13804
120	20645.29386
121	20565.3068
122	20511.75021
123	20455.02834
124	20418.17212
125	20347.54098
126	20318.1223
127	20251.20512
128	20200.07038
129	20146.81636
130	20089.27535
131	20026.62177
132	19969.89831
133	19920.86576
134	19865.34409
135	19802.70688
136	19746.90021
137	19691.21563
138	19637.65323
139	19619.75788
140	19563.60945
141	19492.42306
142	19442.40929
143	19401.95733
144	19341.34569
145	19267.41041
146	19233.80914
147	19188.50435
148	19138.21952
149	19093.50015
150	19041.87408
151	18997.99181
152	18957.60687
153	18923.53766
154	18888.52713
155	18837.80061
156	18792.59031
157	18761.60208
158	18727.60267
159	18683.96848
160	18636.37275
161	18573.7422
162	18539.18906
163	18464.29296
164	18422.54493
165	18394.6733
166	18362.6705
167	18331.52257
168	18298.55642
169	18256.05144
170	18192.49655
171	18167.47518
172	18152.89754
173	18116.28647
174	18084.70944
175	18051.61303
176	18022.08644
177	17974.5117
178	17931.66562
179	17895.41152
180	17864.91388
181	17795.27265
182	17751.83401
183	17712.51188
184	17678.71516
185	17634.56434
186	17602.56571
187	17585.33064
188	17568.70567
189	17524.65897
190	17489.92443
191	17464.64559
192	17426.52161
193	17393.67705
194	17371.00358
195	17345.99555
196	17318.52383
197	17292.69801
198	17248.80166
199	17219.47458
200	17207.83347
201	17174.51814
202	17129.3348
203	17109.27802
204	17062.98816
205	17035.58407
206	17011.68371
207	16990.00984
208	16940.3983
209	16911.24712
210	16875.85349
211	16819.04673
212	16801.56435
213	16786.92239
214	16772.16197
215	16754.02209
216	16720.79923
217	16691.56782
218	16679.69919
219	16639.28479
220	16590.8663
221	16564.48828
222	16550.7542
223	16496.56318
224	16446.90377
225	16395.59964
226	16358.40843
227	16340.06594
228	16300.72858
229	16279.57539
230	16240.24958
231	16212.09547
232	16178.38971
233	16159.24158
234	16139.39944
235	16114.37096
236	16089.06018
237	16060.18462
238	16050.90217
239	16043.34422
240	15989.05873
241	15954.07409
242	15909.78006
243	15864.2683
244	15836.77045
245	15795.57207
246	15783.20589
247	15763.02642
248	15737.06155
249	15712.44102
