iter	Passed	Remaining
0	4	4657
1	9	4721
2	15	5060
3	19	4846
4	22	4469
5	26	4334
6	29	4123
7	32	4011
8	35	3908
9	38	3816
10	42	3824
11	45	3775
12	48	3699
13	51	3607
14	53	3510
15	56	3499
16	59	3414
17	61	3366
18	63	3301
19	66	3258
20	68	3203
21	71	3169
22	73	3140
23	76	3097
24	78	3078
25	81	3056
26	83	3021
27	86	2993
28	88	2961
29	90	2932
30	92	2904
31	94	2873
32	97	2864
33	99	2838
34	102	2824
35	104	2803
36	107	2793
37	109	2771
38	111	2751
39	114	2736
40	116	2730
41	118	2711
42	121	2701
43	123	2683
44	125	2671
45	128	2656
46	130	2639
47	132	2631
48	134	2617
49	137	2605
50	139	2599
51	141	2583
52	143	2571
53	145	2557
54	148	2545
55	150	2539
56	152	2527
57	154	2516
58	157	2510
59	159	2502
60	161	2491
61	164	2485
62	166	2474
63	168	2471
64	171	2460
65	173	2453
66	175	2448
67	178	2440
68	180	2439
69	184	2445
70	188	2465
71	191	2468
72	195	2481
73	199	2490
74	204	2516
75	209	2547
76	214	2568
77	217	2570
78	220	2570
79	223	2565
80	226	2566
81	228	2559
82	231	2560
83	234	2555
84	236	2546
85	238	2537
86	241	2529
87	243	2523
88	245	2514
89	248	2508
90	250	2500
91	252	2491
92	255	2490
93	257	2485
94	260	2482
95	262	2476
96	266	2479
97	268	2471
98	270	2462
99	273	2458
100	275	2449
101	277	2440
102	279	2436
103	282	2437
104	286	2439
105	288	2434
106	290	2426
107	293	2425
108	296	2420
109	298	2419
110	301	2414
111	304	2412
112	306	2407
113	309	2401
114	311	2394
115	313	2391
116	316	2384
117	318	2378
118	320	2374
119	322	2367
120	325	2363
121	327	2357
122	329	2352
123	332	2347
124	334	2341
125	337	2338
126	339	2333
127	341	2327
128	343	2322
129	345	2315
130	348	2309
131	350	2307
132	353	2302
133	355	2296
134	357	2291
135	359	2286
136	361	2280
137	365	2281
138	369	2288
139	372	2290
140	376	2294
141	380	2301
142	384	2301
143	387	2306
144	390	2304
145	394	2307
146	397	2308
147	401	2308
148	404	2308
149	407	2308
150	409	2304
151	412	2301
152	414	2295
153	416	2290
154	419	2285
155	421	2281
156	424	2278
157	426	2274
158	429	2270
159	431	2264
160	433	2259
161	435	2255
162	438	2253
163	441	2250
164	443	2246
165	446	2241
166	448	2238
167	451	2234
168	453	2228
169	455	2223
170	457	2217
171	460	2215
172	462	2211
173	464	2205
174	466	2201
175	469	2196
176	471	2192
177	473	2186
178	476	2184
179	479	2183
180	481	2180
181	484	2177
182	486	2174
183	489	2169
184	491	2164
185	493	2160
186	496	2157
187	498	2152
188	500	2148
189	503	2144
190	505	2140
191	507	2135
192	509	2130
193	511	2125
194	514	2124
195	517	2122
196	520	2120
197	522	2116
198	524	2111
199	527	2108
200	529	2103
201	531	2100
202	534	2096
203	536	2092
204	538	2089
205	540	2085
206	543	2080
207	545	2075
208	547	2071
209	551	2073
210	555	2075
211	558	2077
212	562	2077
213	565	2077
214	570	2081
215	574	2084
216	576	2080
217	579	2077
218	581	2073
219	583	2068
220	585	2065
221	589	2065
222	592	2063
223	595	2061
224	597	2057
225	599	2053
226	601	2049
227	604	2045
228	606	2042
229	608	2038
230	611	2036
231	614	2032
232	616	2028
233	618	2024
234	620	2021
235	623	2018
236	625	2014
237	627	2010
238	630	2007
239	632	2003
240	635	2000
241	637	1996
242	639	1992
243	642	1990
244	644	1986
245	646	1982
246	649	1978
247	651	1975
248	653	1971
249	656	1968
250	658	1964
251	661	1962
252	663	1959
253	667	1961
254	670	1959
255	673	1956
256	675	1952
257	678	1950
258	680	1946
259	682	1942
260	684	1939
261	687	1935
262	689	1931
263	691	1927
264	693	1923
265	696	1921
266	698	1918
267	700	1914
268	703	1911
269	705	1907
270	707	1904
271	710	1901
272	712	1897
273	715	1895
274	717	1892
275	720	1891
276	723	1887
277	725	1884
278	727	1880
279	729	1876
280	732	1874
281	735	1873
282	739	1874
283	743	1873
284	747	1876
285	752	1877
286	754	1874
287	756	1870
288	758	1866
289	760	1862
290	763	1860
291	766	1858
292	769	1857
293	772	1854
294	774	1851
295	776	1847
296	779	1844
297	781	1841
298	784	1838
299	786	1835
300	788	1832
301	791	1828
302	793	1825
303	795	1822
304	798	1818
305	800	1815
306	803	1812
307	805	1809
308	807	1805
309	809	1802
310	812	1799
311	814	1795
312	816	1792
313	819	1789
314	821	1786
315	823	1783
316	827	1782
317	830	1781
318	833	1779
319	836	1777
320	839	1776
321	843	1775
322	846	1775
323	851	1775
324	854	1774
325	857	1772
326	861	1772
327	863	1769
328	866	1767
329	869	1766
330	872	1764
331	875	1762
332	878	1759
333	881	1758
334	885	1757
335	888	1755
336	892	1755
337	895	1753
338	898	1752
339	901	1750
340	905	1749
341	908	1747
342	911	1745
343	914	1743
344	917	1742
345	920	1740
346	924	1740
347	928	1738
348	931	1738
349	935	1737
350	939	1737
351	942	1735
352	945	1732
353	947	1729
354	949	1725
355	952	1722
356	955	1721
357	958	1718
358	960	1715
359	962	1711
360	965	1708
361	967	1705
362	970	1703
363	973	1700
364	975	1697
365	978	1694
366	980	1690
367	982	1687
368	984	1684
369	987	1681
370	990	1678
371	992	1674
