iter	Passed	Remaining
0	0	1821
1	2	3036
2	3	3606
3	4	3489
4	6	3685
5	7	3541
6	7	3384
7	9	3387
8	10	3398
9	11	3372
10	12	3324
11	13	3322
12	14	3307
13	15	3305
14	16	3302
15	17	3261
16	18	3234
17	19	3239
18	20	3209
19	21	3216
20	22	3229
21	23	3236
22	24	3234
23	26	3256
24	27	3240
25	28	3219
26	29	3199
27	29	3184
28	30	3173
29	32	3172
30	32	3152
31	34	3154
32	35	3161
33	36	3152
34	37	3138
35	38	3131
36	38	3116
37	39	3104
38	40	3101
39	42	3109
40	43	3106
41	43	3096
42	44	3088
43	45	3088
44	47	3087
45	47	3076
46	48	3067
47	49	3059
48	50	3058
49	51	3063
50	52	3055
51	53	3045
52	54	3035
53	55	3045
54	56	3041
55	57	3031
56	58	3022
57	59	3015
58	60	3007
59	61	3003
60	62	3000
61	63	2992
62	64	2989
63	65	2985
64	66	2985
65	67	2986
66	68	2991
67	69	2988
68	70	2983
69	71	2992
70	72	2993
71	73	2987
72	74	2985
73	75	2981
74	76	2977
75	77	2975
76	78	2971
77	79	2967
78	80	2963
79	81	2960
80	82	2956
81	83	2958
82	84	2959
83	85	2956
84	86	2960
85	87	2960
86	88	2956
87	89	2954
88	90	2952
89	91	2951
90	92	2954
91	93	2955
92	94	2952
93	95	2948
94	96	2947
95	97	2944
96	98	2943
97	99	2943
98	100	2933
99	100	2919
100	101	2920
101	103	2939
102	104	2940
103	105	2940
104	106	2939
105	107	2942
106	108	2939
107	109	2938
108	110	2940
109	111	2939
110	112	2939
111	113	2938
112	114	2937
113	116	2937
114	117	2942
115	118	2942
116	119	2944
117	120	2947
118	121	2948
119	122	2945
120	123	2942
121	124	2943
122	125	2942
123	126	2938
124	127	2937
125	128	2934
126	129	2933
127	130	2935
128	132	2937
129	133	2938
130	134	2934
131	134	2932
132	135	2928
133	136	2928
134	137	2928
135	138	2925
136	140	2925
137	141	2924
138	141	2921
139	142	2918
140	143	2917
141	145	2918
142	145	2915
143	147	2919
144	148	2919
145	149	2917
146	150	2916
147	151	2915
148	152	2909
149	153	2909
150	154	2906
151	154	2903
152	155	2902
153	156	2899
154	157	2896
155	158	2893
156	159	2891
157	160	2888
158	161	2889
159	162	2886
160	163	2882
161	164	2879
162	165	2878
163	166	2875
164	167	2873
165	168	2873
166	169	2872
167	170	2869
168	171	2867
169	172	2863
170	173	2862
171	173	2860
172	174	2856
173	175	2853
174	176	2855
175	177	2853
176	178	2850
177	179	2849
178	180	2848
179	181	2847
180	182	2846
181	183	2845
182	184	2842
183	185	2839
184	186	2835
185	187	2833
186	188	2829
187	189	2829
188	190	2831
189	191	2830
190	192	2829
191	193	2826
192	193	2820
193	194	2817
194	195	2816
195	196	2815
196	197	2815
197	198	2813
198	199	2810
199	200	2808
200	201	2806
201	202	2807
202	203	2804
203	204	2804
204	205	2803
205	206	2805
206	207	2805
207	208	2803
208	209	2803
209	210	2801
210	211	2799
211	212	2800
212	213	2798
213	214	2797
214	215	2795
